Prospect_Code,Ext_Ref_Prospect_Id,Tenant_Code,Ext_Ref_Tenant_Id,FirstName,MiddleName,LastName,Parent_Code,Salutation,Address1,Address2,City,State,ZipCode,HowLong,HomePhone,OfficePhone,CellPhone,Fax,FedId,Email,Date_Of_Birth,Drivers_License,DLState,Income,RelationShip,Occupant,LeaseStep,Status,Preferred_Rent,Preferred_Bedrooms,Preferred_Bath,Preferred_MoveIn,Property_Code,Ref_Property_ID,UnitType_Code,Unit_Code,LeaseFrom,LeaseTo,Source,SecondarySource,Agent,Previous_Address1,Previous_Address2,Previous_City,Previous_State,Previous_ZipCode,Previous_HowLong,Previous2_Address1,Previous2_Address2,Previous2_City,Previous2_State,Previous2_ZipCode,Company,Position,DtStart,Emp_Address1,Emp_Address2,Emp_City,Emp_State,Emp_Zip,Emp_Phone ,EmergencyCont_Name,EmergencyCont_Relation,EmergencyCont_TelHome,Emergency_Phone,AutoType1,AutoColor1,License1,State1,AutoType2,AutoColor2,License2,State2,First_Contacted_On,Date_Show,Date_Applied,Date_Approved,Date_Canceled,Date_Denied,Payment,Check_Number,Notes,Summary,Subsidized,CardType,CardNumber ,CardExpiration,LeaseTerm,FirstContactType,Applicant,QuotedRent,Customer,TelAlt,WebLinks,B50059,TaxCredit,Home,RD,FailValidation,Aff_Lease_Step,ShowAgent,Country,Address3,Address4,WebLinksStep,ProspectCopiedTo,ProspectCopiedFrom,Roommate_Code,Roommate_LastName,Roommate_FirstName,Room,Bed,Student,SLeadxRef,InterFaceConfig,Maiden_Name,CurrentAddress_StartDate,CurrentAddress_MonthlyRent,CurrentAddress_ReasonForMoving,PreviousAddress_StartDate,PreviousAddress_MonthlyRent,PreviousAddress_ReasonForMoving,CurrentEmployment_AdditionalIncome,CurrentEmployment_AdditionalIncomeSource,Ref_Unit_Id
p0000009,,t0000004,,Father,,Christmas,,,Northpole,,Lapland,,L1,0,,,,,,,,,,0,,0,80,3,0,1,,01/09/2020,44400001,,01_A_A1,A-0203,01/09/2020,31/08/2021,Walk-in,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/06/2020,,11/06/2020,,11/06/2020,,,,,,,,,,12,Walk-In,0,2407,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000010,,,,Peter,,Rabbit,,,,,,,,0,,,,,,rentcafe.lendlease+peterrabbit@gmail.com,,,,0,,0,20,6,0,0,,,rc_test,,,,,,Internet Ad,,Salesforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16/06/2020,,,,,,,,,,,,,,0,Call,0,0,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000011,,,,Star,,Lord,,,Galaxy Tree,Guardians of the Galaxy,Ego,,,0,,,123456789,,,rentcafe.lendlease+starlord@gmail.com,01/01/1900,,uk,0,,0,70,6,2800,1,,04/07/2020,rc_test,,RC1B1B,RCUNIT04,04/07/2020,03/07/2023,SalesForce,LeasingPadCRM,Salesforce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18/06/2020,,,,,,,,Occupants: 3,,,,,,36,Email,0,2600,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000012,,,,Thor,,Odinson,p0000011,,20 Triton Place,,London,,NW1 1TA,0,,,,,,rentcafe.lendlease+thor@gmail.com,,,,0,Roommate,0,0,6,0,0,,,rc_test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,,,,0,,0,,0,,,0,,,,,,,
p0000013,,t0000214,,Taylor,,Swift,,,5 Westfield,Stratford,London,,E20 1AA,0,,,,,,abc1@gmail.gz,,,,0,,0,90,7,2800,1,,03/08/2020,44400001,,01_D_A1,D-2408,03/08/2020,02/08/2022,LivingbyLendlease.com,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2020,,03/08/2020,03/08/2020,,,,,,,,,,,24,Email,0,2522,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000022,,,,Peter,,Pan,p0000013,,5 Westfield,Stratford,London,,E20 1AA,0,,,(852) 456-9173,,,peterpan@neverland.gz,,,,0,Roommate,0,0,0,0,0,,,44400001,,,,,,,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000008,Pan,Peter,345,,0,,0,,,0,,,,,,,
p0000023,,,,Captain,,Hook,p0000013,,5 Westfield,Stratford,London,,E20 1AA,0,,,,,,captainhook@neverland.gz,,,,0,Guarantor,-1,0,0,0,0,,,44400001,,,,,,,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000009,Hook,Captain,346,,0,,0,,,0,,,,,,,
p0000014,,t0000210,,Spongebob,,Squarepants,,,5 Bikini Bottom,The Atoll,London,,SW12 1TT,0,,,987654321,,,spongebob@gmail.gz,,,,0,,0,90,7,3000,2,,22/08/2020,44400001,,01_D_B1,D-2402,22/08/2020,21/08/2021,LivingbyLendlease.com,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2020,,03/08/2020,03/08/2020,,,,,,,,,,,12,Email,0,3000,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000015,,,,Star,,Fish,p0000014,,5 Bikini Bottom,The Atoll,London,,SW12 1TT,0,,,,,,,,,,0,Other,-1,0,0,0,0,,,44400001,,,,,,,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000004,Fish,Star,337,,0,,0,,,0,,,,,,,
p0000016,,t0000211,,Tesla,,Corporation,,,1 Silicon Valley,Croydon,London,,CR1 SPX,0,,,569874123,,,spacex@gmail.gz,,,,0,,0,90,7,3000,1,,04/08/2020,44400001,,01_A_A2,A-0701,04/08/2020,03/08/2023,Instagram Ad,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2020,,03/08/2020,03/08/2020,,,,,,,,,,,36,Walk-In,0,2462,,,,0,0,,0,,,,1,,,,,,,,,,,0,,0,,,0,,,,,,,
p0000017,,,,Elon,,Musk,p0000016,,1 Silicon Valley,Croydon,London,,CR1 SPX,0,,,,,,,,,,0,Roommate,-1,0,0,0,0,,,44400001,,,,,,,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,,,,,,r0000005,Musk,Elon,339,,0,,0,,,0,,,,,,,
p0000018,,t0000212,,A1,,TEST,,,20 Triton Place,,London,,NW1 1TA,0,,,789456123,,,A1test@gmail.gz,,,,0,,0,90,7,2500,1,,08/08/2020,rc_test,,RC1B1B,RCUNIT04,08/08/2020,07/08/2021,SalesForce,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2020,,03/08/2020,03/08/2020,,,,,,,,,,,12,Call,0,2600,,,,0,0,,0,,,,1,London,,,,,,,,,,0,,0,,,0,,,,,,,
p0000019,,,,B1,,TESTG,p0000018,,20 Triton Place,,London,,NW1 1TA,0,,,,,,iamguarantor@gmail.gz,,,,0,Guarantor,-1,0,0,0,0,,,rc_test,,,,,,,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,London,,,,,r0000006,TESTG,B1,341,,0,,0,,,0,,,,,,,
p0000020,,t0000213,,Asgard,,Enterprises,,,20 Triton Place,,London,,NW1 1TA,0,,,123789456,,,asgard@gmail.gz,,,,0,,0,80,1,0,1,,03/08/2020,44400001,,01_B_A1,B-0603,03/08/2020,02/08/2021,Event - Onsite,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,03/08/2020,,03/08/2020,,,,,,,,,,,,12,Email,0,2417,,,,0,0,,0,,,,1,London,,,,,,,,,,0,,0,,,0,,,,,,,
p0000021,,,,Loki,,Odinson,p0000020,,20 Triton Place,,London,,NW1 1TA,0,,,,,,loki@gmail.gz,,,,0,Roommate,-1,0,0,0,0,,,44400001,,,,,,,,Abul Ali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,0,,,,0,0,,0,,,,1,London,,,,,r0000007,Odinson,Loki,343,,0,,0,,,0,,,,,,,
